Bradford Concert Band,Myrtle Park,2025-07-27,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-05-28,,,,,,,
Playing For Kicks,Myrtle Park,2025-08-02,1pm - 4pm ,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-05-28,,,,,,,
Ben Rhydding Clarinets,Myrtle Park,2025-08-03,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-05-28,,,,,,,
Fiddle N Feet ,Myrtle Park,2025-08-09,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-05-28,,,,,,,
Guiseley Jazz,Myrtle Park,2025-08-10,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-05-28,,,,,,,
Bingley Pride,Myrtle Park,2025-08-16,TBC,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-05-28,,,,,,,
Guiseley Brass Band,Myrtle Park,2025-08-17,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-06-23,,,,,,,
,Myrtle Park,2025-08-23,,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-06-23,,,,,,,
West Yorkshire Brass,Myrtle Park,2025-08-24,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-06-23,,,,,,,
Skinner n Twitch,Myrtle Park,2025-08-25,1pm - 3pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-06-23,,,,,,,
Boki,Myrtle Park,2025-08-30,,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-06-23,,,,,,,
Herr Jan's Band,Myrtle Park,2025-08-31,2pm - 4pm,Free,,,,"Part of the Bingley Bandstands Concert programme for 2025 put together by the Friends of Myrtle Park, Bingley Town Council, Bradford Parks, and Bingley Music Town.",2025-08-04,,,,,,,
